clf,clf_C,clf_algorithm,clf_base_estimator,clf_bootstrap,clf_cache_size,clf_class_weight,clf_coef0,clf_compute_importances,clf_constant,clf_criterion,clf_degree,clf_dual,clf_fit_intercept,clf_gamma,clf_intercept_scaling,clf_kernel,clf_learning_rate,clf_max_depth,clf_max_features,clf_max_iter,clf_max_leaf_nodes,clf_min_density,clf_min_samples_leaf,clf_min_samples_split,clf_n_estimators,clf_n_jobs,clf_oob_score,clf_penalty,clf_probability,clf_random_state,clf_shrinking,clf_splitter,clf_strategy,clf_tol,clf_verbose,subset,subset_cols_to_exclude,subset_max_grades,subset_n_subsets,subset_num_rows,subset_proportions_positive,subset_subset_size,cv,cv_col_name,cv_col_name,cv_expanding_train,cv_inc_value,cv_indices,cv_n_folds,cv_random_state,cv_shuffle,cv_test_start,cv_test_window_size,cv_train_start,cv_train_window_size,subset_note_excluded_col,subset_note_max_grade,subset_note_prop_positive,subset_note_rows,subset_note_sample_num,cv_note_fold,cv_note_test_end,cv_note_test_start,cv_note_train_end,cv_note_train_start,f1_score,roc_auc,prec@1%,prec@2%,prec@5%,prec@10%,prec@20%,feature_ranked_0,feature_ranked_1,feature_ranked_2,feature_ranked_3,feature_ranked_4,feature_ranked_5,feature_ranked_6,feature_ranked_7,feature_ranked_8,feature_ranked_9,feature_score_0,feature_score_1,feature_score_2,feature_score_3,feature_score_4,feature_score_5,feature_score_6,feature_score_7,feature_score_8,feature_score_9
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,2,,,,,,,,,,300,,1,,,,,0.26666666666666666,0.3961510530137981,0.02722222222222222,0.10999999999999999,0.35833333333333334,0.4132275132275132,0.36015597305919883,f2,f8,f11,f4,f9,f5,f6,f14,f3,f13,0.097954902905223615,0.090167274373930975,0.088547173100604754,0.080355071212826673,0.079449364645495901,0.078993047572920486,0.075690277881081486,0.071508999906875467,0.063393327068666183,0.055053216552479613
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,100,,0,,,,,0.55172413793103448,0.65798611111111116,1.0,1.0,1.0,0.9416666666666667,0.8,f7,f12,f2,f13,f1,f11,f8,f3,f5,f4,0.15732559935115692,0.11030056415609719,0.10212177794939685,0.096399200459064721,0.079904714002700453,0.075272490726583402,0.070308212942238157,0.066442013113577156,0.051364466063316162,0.046931583459433088
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,100,,1,,,,,0.32000000000000001,0.44117647058823528,0.6699999999999999,0.33999999999999997,0.325,0.5433333333333333,0.5377777777777777,f11,f9,f3,f5,f0,f10,f7,f13,f1,f12,0.14940634760047761,0.11903864726025082,0.11255208308491564,0.098863203236167069,0.077931699486567224,0.077176150344651293,0.060646496493740189,0.055678690531091833,0.045417815364448791,0.0399761195393184
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,100,,2,,,,,0.41379310344827586,0.49448529411764708,1.0,1.0,0.9458333333333333,0.8083333333333333,0.6666666666666666,f12,f1,f4,f9,f7,f3,f11,f2,f5,f8,0.10628398099134047,0.10184909326497264,0.090251615636286059,0.077890518362012467,0.077007275611922707,0.07100050537362694,0.066240420550920012,0.062870200312719435,0.061064920180042837,0.057856729115140192
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,200,,0,,,,,0.3571428571428571,0.38888888888888884,0.8511111111111112,0.7022222222222222,0.31875,0.17916666666666664,0.21235294117647063,f3,f0,f4,f13,f14,f6,f2,f7,f5,f12,0.092439438112384947,0.090351322594975345,0.081337372127438551,0.079978775359918902,0.071437020553355796,0.068029818742161241,0.066834160262564363,0.064978231641392228,0.064086824466006748,0.062875209610083041
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,200,,1,,,,,0.46428571428571425,0.56765232974910396,1.0,0.983,0.8825000000000001,0.7826136363636363,0.7140909090909091,f9,f5,f2,f3,f4,f6,f14,f13,f7,f0,0.12180611414814638,0.09947856049516389,0.084626717291073766,0.080109543425968516,0.079914930888114841,0.065919150404715063,0.06347678519615936,0.063072549737611575,0.058414045346294553,0.054081024960735316
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,200,,2,,,,,0.25925925925925924,0.35714285714285715,0.78,0.56,0.008333333333333337,0.10000000000000002,0.25592885375494073,f7,f5,f11,f2,f9,f4,f13,f14,f0,f3,0.11142693466035973,0.097184355814238926,0.094919356908545277,0.088428358247451322,0.078578563300987864,0.06883612383252595,0.059622551658209899,0.058954771053490639,0.058919269260882166,0.054745184316181562
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,300,,0,,,,,0.44444444444444442,0.52395330112721417,1.0,0.8333333333333333,0.5025252525252525,0.5151515151515151,0.5404040404040403,f5,f2,f11,f7,f0,f13,f8,f14,f1,f4,0.09003015301903558,0.088574566628591783,0.081738637522365348,0.080747701848042433,0.072999180936202598,0.071786436444508078,0.067239436753517706,0.066474049939009891,0.064059556275192553,0.059316102673481655
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,300,,1,,,,,0.44444444444444442,0.54367954911433169,0.7777777777777777,0.5555555555555555,0.37058823529411766,0.46372549019607845,0.65,f13,f9,f8,f7,f4,f14,f0,f5,f11,f6,0.092177683161834195,0.090558668071860776,0.087670314551904577,0.07932356559865883,0.079048161034430214,0.074878566538204114,0.074787826279532649,0.069565212253537539,0.068300297490529738,0.063499079466317554
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,300,,2,,,,,0.22535211267605634,0.36996779388083739,0.5,0.0,0.07500000000000001,0.2,0.29307692307692307,f13,f12,f7,f14,f3,f2,f4,f10,f1,f5,0.09682493812432548,0.092848689034269599,0.086981272475688667,0.078204176234002637,0.074110783581098322,0.070058082309826075,0.067358510632910817,0.065254344834772091,0.063757743536896977,0.060183207982948309
